bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.571429,0.014336,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,784.862,0.171008,824.352,0.651264,812.22,2.64397,809.321,10.6138,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,3.2,0.01024,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,655.36,0.0512,789.59,0.169984,823.058,0.652288,812.535,2.64294,808.93,10.6189,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,780.19,0.172032,820.482,0.654336,812.22,2.64397,808.852,10.6199,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,481.882,0.017408,630.154,0.053248,780.19,0.172032,816.648,0.657408,812.22,2.64397,808.774,10.6209,
0.0104167,0.012288,0.05,0.01024,0.166667,0.012288,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,815.378,0.658432,812.85,2.64192,809.399,10.6127,
0.0104167,0.012288,0.0416667,0.012288,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,771.012,0.17408,816.648,0.657408,811.591,2.64602,808.93,10.6189,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,817.922,0.656384,811.906,2.64499,808.852,10.6199,
0.0113636,0.011264,0.0416667,0.012288,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,784.862,0.171008,812.85,0.66048,812.22,2.64397,808.618,10.623,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,784.862,0.171008,815.378,0.658432,811.906,2.64499,808.385,10.626,
0.0113636,0.011264,0.0416667,0.012288,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,784.862,0.171008,815.378,0.658432,812.535,2.64294,808.774,10.6209,
0.0113636,0.011264,0.0384615,0.013312,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,784.862,0.171008,811.591,0.661504,812.535,2.64294,808.93,10.6189,
0.0113636,0.011264,0.0384615,0.013312,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,789.59,0.169984,817.922,0.656384,812.535,2.64294,808.696,10.622,
0.0113636,0.011264,0.0416667,0.012288,0.181818,0.011264,0.8,0.01024,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,157.538,0.013312,481.882,0.017408,655.36,0.0512,780.19,0.172032,815.378,0.658432,812.85,2.64192,808.93,10.6189,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,780.19,0.172032,817.922,0.656384,812.535,2.64294,809.555,10.6107,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,372.364,0.022528,642.51,0.052224,780.19,0.172032,816.648,0.657408,812.22,2.64397,809.086,10.6168,
0.0125,0.01024,0.0416667,0.012288,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,789.59,0.169984,816.648,0.657408,812.535,2.64294,809.164,10.6158,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,789.59,0.169984,816.648,0.657408,812.85,2.64192,809.321,10.6138,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,780.19,0.172032,816.648,0.657408,812.85,2.64192,809.555,10.6107,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,668.735,0.050176,789.59,0.169984,815.378,0.658432,812.535,2.64294,809.399,10.6127,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,642.51,0.052224,780.19,0.172032,814.112,0.659456,811.906,2.64499,809.008,10.6179,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,789.59,0.169984,816.648,0.657408,812.535,2.64294,809.477,10.6117,
0.0125,0.01024,0.0384615,0.013312,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,120.471,0.017408,481.882,0.017408,655.36,0.0512,780.19,0.172032,820.482,0.654336,812.22,2.64397,808.618,10.623,
0.0104167,0.012288,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,780.19,0.172032,823.058,0.652288,812.22,2.64397,809.242,10.6148,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,780.19,0.172032,821.768,0.653312,812.535,2.64294,809.242,10.6148,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,9.84615,0.013312,30.1176,0.017408,157.538,0.013312,455.111,0.018432,668.735,0.050176,780.19,0.172032,821.768,0.653312,805.667,2.66547,809.086,10.6168,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,12.8,0.01024,51.2,0.01024,170.667,0.012288,481.882,0.017408,642.51,0.052224,784.862,0.171008,820.482,0.654336,813.165,2.6409,807.296,10.6404,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,3.2,0.01024,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,595.782,0.05632,780.19,0.172032,819.2,0.65536,812.22,2.64397,809.086,10.6168,
0.0104167,0.012288,0.0416667,0.012288,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,784.862,0.171008,816.648,0.657408,812.85,2.64192,809.321,10.6138,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,784.862,0.171008,815.378,0.658432,810.337,2.65011,809.789,10.6076,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,775.574,0.173056,816.648,0.657408,811.906,2.64499,809.164,10.6158,
0.0113636,0.011264,0.0454545,0.011264,0.166667,0.012288,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,784.862,0.171008,816.648,0.657408,812.85,2.64192,809.242,10.6148,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,789.59,0.169984,812.85,0.66048,813.165,2.6409,809.321,10.6138,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,780.19,0.172032,816.648,0.657408,812.535,2.64294,809.008,10.6179,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,630.154,0.053248,789.59,0.169984,815.378,0.658432,812.85,2.64192,809.399,10.6127,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,780.19,0.172032,817.922,0.656384,812.85,2.64192,809.086,10.6168,
0.0125,0.01024,0.0416667,0.012288,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,655.36,0.0512,789.59,0.169984,814.112,0.659456,812.85,2.64192,809.164,10.6158,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,775.574,0.173056,815.378,0.658432,812.535,2.64294,809.321,10.6138,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,157.538,0.013312,481.882,0.017408,642.51,0.052224,784.862,0.171008,815.378,0.658432,812.22,2.64397,808.774,10.6209,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,780.19,0.172032,816.648,0.657408,812.22,2.64397,808.463,10.625,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,51.2,0.01024,157.538,0.013312,455.111,0.018432,655.36,0.0512,780.19,0.172032,812.85,0.66048,812.22,2.64397,808.774,10.6209,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,817.922,0.656384,812.85,2.64192,808.385,10.626,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,815.378,0.658432,812.22,2.64397,808.852,10.6199,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,817.922,0.656384,813.796,2.63885,808.618,10.623,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,784.862,0.171008,814.112,0.659456,812.85,2.64192,808.541,10.624,
0.00657895,0.019456,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,655.36,0.0512,784.862,0.171008,817.922,0.656384,811.906,2.64499,808.073,10.6301,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,780.19,0.172032,819.2,0.65536,812.535,2.64294,808.618,10.623,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,784.862,0.171008,819.2,0.65536,812.85,2.64192,808.696,10.622,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,784.862,0.171008,821.768,0.653312,812.22,2.64397,808.93,10.6189,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,630.154,0.053248,780.19,0.172032,821.768,0.653312,812.85,2.64192,808.774,10.6209,
0.0113636,0.011264,0.0416667,0.012288,0.2,0.01024,0.666667,0.012288,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,780.19,0.172032,823.058,0.652288,812.535,2.64294,808.229,10.6281,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,668.735,0.050176,780.19,0.172032,817.922,0.656384,811.591,2.64602,808.696,10.622,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,780.19,0.172032,816.648,0.657408,812.535,2.64294,808.93,10.6189,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,784.862,0.171008,815.378,0.658432,812.535,2.64294,809.086,10.6168,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,8,0.016384,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,784.862,0.171008,815.378,0.658432,812.85,2.64192,808.696,10.622,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,170.667,0.012288,481.882,0.017408,668.735,0.050176,784.862,0.171008,817.922,0.656384,812.85,2.64192,808.229,10.6281,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,780.19,0.172032,814.112,0.659456,812.535,2.64294,808.463,10.625,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,775.574,0.173056,819.2,0.65536,812.22,2.64397,808.852,10.6199,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,157.538,0.013312,455.111,0.018432,655.36,0.0512,789.59,0.169984,816.648,0.657408,812.22,2.64397,809.477,10.6117,
0.0104167,0.012288,0.00806452,0.063488,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,630.154,0.053248,789.59,0.169984,817.922,0.656384,812.85,2.64192,809.868,10.6066,
0.0113636,0.011264,0.0416667,0.012288,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,455.111,0.018432,630.154,0.053248,789.59,0.169984,816.648,0.657408,812.535,2.64294,809.711,10.6086,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,630.154,0.053248,784.862,0.171008,816.648,0.657408,813.165,2.6409,810.259,10.6015,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,136.533,0.01536,481.882,0.017408,642.51,0.052224,780.19,0.172032,815.378,0.658432,813.165,2.6409,810.18,10.6025,
0.0104167,0.012288,0.0454545,0.011264,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,780.19,0.172032,816.648,0.657408,812.535,2.64294,810.337,10.6004,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,789.59,0.169984,814.112,0.659456,812.22,2.64397,810.572,10.5974,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,784.862,0.171008,816.648,0.657408,812.22,2.64397,810.807,10.5943,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,780.19,0.172032,816.648,0.657408,811.906,2.64499,810.259,10.6015,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,780.19,0.172032,815.378,0.658432,813.165,2.6409,810.259,10.6015,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,780.19,0.172032,815.378,0.658432,813.796,2.63885,809.633,10.6097,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,780.19,0.172032,819.2,0.65536,812.22,2.64397,808.463,10.625,
0.00961538,0.013312,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,655.36,0.0512,789.59,0.169984,819.2,0.65536,812.535,2.64294,808.93,10.6189,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,784.862,0.171008,821.768,0.653312,812.535,2.64294,807.84,10.6332,
0.0104167,0.012288,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,668.735,0.050176,784.862,0.171008,823.058,0.652288,812.535,2.64294,808.93,10.6189,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,481.882,0.017408,630.154,0.053248,775.574,0.173056,823.058,0.652288,813.48,2.63987,809.164,10.6158,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,780.19,0.172032,819.2,0.65536,813.165,2.6409,809.086,10.6168,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,780.19,0.172032,816.648,0.657408,812.22,2.64397,809.242,10.6148,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,157.538,0.013312,455.111,0.018432,642.51,0.052224,784.862,0.171008,816.648,0.657408,812.22,2.64397,809.399,10.6127,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,780.19,0.172032,815.378,0.658432,812.535,2.64294,810.024,10.6045,
0.0113636,0.011264,0.0416667,0.012288,0.2,0.01024,0.666667,0.012288,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,481.882,0.017408,642.51,0.052224,784.862,0.171008,816.648,0.657408,812.85,2.64192,809.321,10.6138,
0.00961538,0.013312,0.0416667,0.012288,0.166667,0.012288,0.666667,0.012288,2.66667,0.012288,10.6667,0.012288,39.3846,0.013312,146.286,0.014336,390.095,0.021504,682.667,0.049152,771.012,0.17408,814.112,0.659456,813.48,2.63987,807.062,10.6435,
